target,n_positive,positive_ratio_%,balance,auc_catboost,auc_nn,auc_lgbm,auc_ensemble,best_model,ensemble_gain
target_1_1,415,1.107000,imbalanced,0.905474,0.884116,0.913317,0.911042,LGBM,-0.002274
target_1_2,126,0.336000,rare,0.809258,0.800086,0.820268,0.820628,LGBM,0.000360
target_1_3,901,2.403000,imbalanced,0.874457,0.859333,0.880875,0.879415,LGBM,-0.001460
target_1_4,903,2.408000,imbalanced,0.847755,0.835150,0.856060,0.853793,LGBM,-0.002267
target_1_5,75,0.200000,rare,0.900161,0.856754,0.910246,0.907417,LGBM,-0.002829
target_2_1,258,0.688000,rare,0.828264,0.811970,0.834791,0.834926,LGBM,0.000136
target_2_2,972,2.592000,imbalanced,0.933603,0.929595,0.937906,0.937008,LGBM,-0.000898
target_2_3,47,0.125000,rare,0.807780,0.761589,0.820339,0.822866,LGBM,0.002527
target_2_4,282,0.752000,rare,0.747306,0.725832,0.752060,0.754182,LGBM,0.002122
target_2_5,72,0.192000,rare,0.811214,0.778345,0.794887,0.813276,CatBoost,0.002062
target_2_6,174,0.464000,rare,0.765884,0.717040,0.768860,0.769084,LGBM,0.000224
target_2_7,11,0.029000,rare,0.846241,0.891624,0.844329,0.875597,NN,-0.016027
target_2_8,2,0.005000,rare,0.995293,0.979812,0.994866,0.994093,CatBoost,-0.001200
target_3_1,3681,9.816000,balanced,0.698400,0.664802,0.699943,0.700087,LGBM,0.000145
target_3_2,3672,9.792000,balanced,0.913432,0.905147,0.914492,0.914361,LGBM,-0.000131
target_3_3,37,0.099000,rare,0.750940,0.672956,0.775264,0.768785,LGBM,-0.006479
target_3_4,53,0.141000,rare,0.950841,0.927130,0.956722,0.957707,LGBM,0.000985
target_3_5,58,0.155000,rare,0.967232,0.949684,0.970770,0.970065,LGBM,-0.000705
target_4_1,305,0.813000,rare,0.859211,0.835781,0.864805,0.863246,LGBM,-0.001559
target_5_1,362,0.965000,rare,0.760428,0.743265,0.769561,0.768560,LGBM,-0.001001
target_5_2,110,0.293000,rare,0.776771,0.740871,0.785516,0.783072,LGBM,-0.002443
target_6_1,321,0.856000,rare,0.741220,0.715663,0.734967,0.742317,CatBoost,0.001097
target_6_2,256,0.683000,rare,0.719209,0.699711,0.717647,0.722099,CatBoost,0.002890
target_6_3,215,0.573000,rare,0.778120,0.769883,0.782465,0.784493,LGBM,0.002028
target_6_4,292,0.779000,rare,0.862899,0.848142,0.862360,0.863903,CatBoost,0.001004
target_6_5,24,0.064000,rare,0.973800,0.953477,0.970184,0.970796,CatBoost,-0.003004
target_7_1,2391,6.376000,balanced,0.818988,0.809122,0.819986,0.820771,LGBM,0.000785
target_7_2,1046,2.789000,imbalanced,0.868898,0.861096,0.873435,0.873643,LGBM,0.000208
target_7_3,192,0.512000,rare,0.814835,0.809045,0.811184,0.824722,CatBoost,0.009887
target_8_1,3799,10.131000,balanced,0.977574,0.972152,0.979346,0.978787,LGBM,-0.000559
target_8_2,1166,3.109000,imbalanced,0.862635,0.848763,0.870690,0.868040,LGBM,-0.002650
target_8_3,698,1.861000,imbalanced,0.860816,0.846018,0.868180,0.866075,LGBM,-0.002106
target_9_1,128,0.341000,rare,0.771286,0.741692,0.771834,0.778279,LGBM,0.006445
target_9_2,1296,3.456000,imbalanced,0.843208,0.830012,0.845058,0.845250,LGBM,0.000192
target_9_3,742,1.979000,imbalanced,0.689623,0.682729,0.694537,0.695157,LGBM,0.000620
target_9_4,68,0.181000,rare,0.910546,0.855689,0.918273,0.913591,LGBM,-0.004682
target_9_5,248,0.661000,rare,0.862121,0.847227,0.867759,0.868949,LGBM,0.001190
target_9_6,8374,22.331000,balanced,0.698512,0.670780,0.698790,0.699383,LGBM,0.000593
target_9_7,2780,7.413000,balanced,0.774380,0.762082,0.777724,0.777306,LGBM,-0.000418
target_9_8,408,1.088000,imbalanced,0.942007,0.936888,0.943632,0.943779,LGBM,0.000147
target_10_1,11917,31.779000,balanced,0.764452,0.754641,0.763671,0.764619,CatBoost,0.000167
